month,total_minutes,tracks_played,skips,unique_artists,unique_tracks,days_with_listening,hours_played,skip_rate,month_name
1,339.26716666666664,75,48,40,55,15,5.65,64.0,January
2,306.70306666666664,215,191,62,101,14,5.11,88.84,February
3,199.71845,55,40,29,39,9,3.33,72.73,March
4,326.3856666666667,115,84,58,75,18,5.44,73.04,April
5,161.02883333333332,67,42,26,38,10,2.68,62.69,May
6,189.21885,77,43,28,43,13,3.15,55.84,June
7,633.99195,144,98,48,65,20,10.57,68.06,July
8,560.6438166666667,138,95,51,72,21,9.34,68.84,August
9,751.1261666666667,329,272,140,220,20,12.52,82.67,September
10,570.6458166666666,183,135,66,97,20,9.51,73.77,October
11,463.0110666666667,181,124,62,123,18,7.72,68.51,November
12,5.276016666666667,2,0,2,2,2,0.09,0.0,December
